,,,,,,,,,,,,,,,
0.5,0.097,0.1,0.094,0.116,0.084,0.096,0.101,0.097,0.097,0.099,0.096,0.096,0.115,0.108,0.109
1,0.1,0.112,0.1,0.124,0.084,0.098,0.109,0.099,0.102,0.108,0.097,0.098,0.124,0.112,0.115
1.5,0.102,0.118,0.105,0.121,0.084,0.103,0.115,0.103,0.107,0.108,0.102,0.103,0.132,0.118,0.118
2,0.122,0.135,0.121,0.138,0.084,0.113,0.127,0.121,0.121,0.127,0.122,0.121,0.143,0.134,0.134
2.5,0.141,0.158,0.136,0.172,0.084,0.126,0.145,0.135,0.135,0.145,0.14,0.139,0.167,0.158,0.158
3,0.163,0.185,0.159,0.208,0.084,0.144,0.164,0.159,0.155,0.168,0.157,0.157,0.207,0.191,0.196
3.5,0.195,0.21,0.19,0.26,0.084,0.166,0.213,0.194,0.184,0.219,0.19,0.189,0.271,0.254,0.259
4,0.218,0.222,0.196,0.253,0.083,0.187,0.255,0.255,0.2,0.281,0.299,0.279,0.36,0.342,0.351
4.5,0.265,0.257,0.247,0.285,0.084,0.193,0.292,0.275,0.299,0.305,0.347,0.318,0.444,0.423,0.438
5,0.382,0.403,0.307,0.348,0.084,0.225,0.405,0.395,0.38,0.405,0.415,0.421,0.586,0.552,0.55
5.5,0.377,0.438,0.399,0.37,0.084,0.244,0.429,0.405,0.415,0.441,0.441,0.447,0.653,0.63,0.627
6,0.429,0.471,0.417,0.395,0.084,0.263,0.465,0.436,0.448,0.483,0.461,0.48,0.682,0.674,0.688
6.5,0.46,0.496,0.449,0.421,0.084,0.288,0.498,0.47,0.482,0.523,0.51,0.525,0.752,0.741,0.748
7,0.472,0.531,0.465,0.452,0.084,0.312,0.542,0.508,0.52,0.598,0.551,0.561,0.821,0.803,0.81
7.5,0.498,0.564,0.506,0.48,0.084,0.33,0.581,0.55,0.547,0.536,0.596,0.589,0.871,0.853,0.859
8,0.537,0.592,0.54,0.508,0.084,0.345,0.624,0.584,0.586,0.495,0.571,0.521,0.922,0.902,0.91
8.5,0.567,0.531,0.555,0.532,0.084,0.361,0.515,0.623,0.629,0.59,0.468,0.448,0.994,0.952,0.959
9,0.595,0.545,0.599,0.551,0.084,0.371,0.502,0.658,0.608,0.716,0.627,0.616,1.026,1.003,1.01
9.5,0.589,0.572,0.643,0.574,0.084,0.392,0.587,0.537,0.528,0.782,0.723,0.704,1.06,1.036,1.04
10,0.507,0.586,0.654,0.595,0.084,0.416,0.728,0.483,0.57,0.849,0.788,0.793,1.108,1.061,1.116
10.5,0.528,0.745,0.622,0.615,0.084,0.446,0.86,0.668,0.656,0.906,0.862,0.865,1.095,1.123,1.093
11,0.554,0.886,0.623,0.634,0.084,0.472,0.958,0.842,0.821,0.967,0.922,0.929,1.124,1.084,1.083
11.5,0.691,0.98,0.685,0.655,0.084,0.489,1.058,0.932,0.936,1.034,0.991,0.996,1.151,1.157,1.138
12,0.866,1.077,0.804,0.673,0.085,0.507,1.155,1.039,1.026,1.113,1.073,1.071,1.137,1.181,1.131
12.5,0.952,1.163,0.905,0.695,0.087,0.524,1.251,1.139,1.12,1.118,1.134,1.135,1.195,1.108,1.117
13,1.045,1.246,1.003,0.714,0.086,0.546,1.342,1.232,1.217,1.105,1.127,1.126,1.209,1.13,1.179
13.5,1.138,1.354,1.085,0.741,0.084,0.563,1.407,1.321,1.308,1.094,1.118,1.118,1.226,1.112,1.16
14,1.228,1.342,1.175,0.76,0.084,0.586,1.403,1.405,1.401,1.086,1.109,1.108,1.168,1.117,1.102
14.5,1.34,1.326,1.253,0.785,0.084,0.608,1.393,1.413,1.415,1.073,1.097,1.096,1.166,1.108,1.099
15,1.328,1.312,1.335,0.809,0.084,0.633,1.399,1.408,1.412,1.062,1.084,1.083,1.214,1.102,1.095
15.5,1.313,1.303,1.335,0.834,0.084,0.657,1.362,1.398,1.403,1.052,1.073,1.072,1.228,1.08,1.083
16,1.302,1.293,1.316,0.859,0.084,0.683,1.337,1.379,1.386,1.031,1.05,1.046,1.145,1.056,1.021
16.5,1.287,1.285,1.304,0.886,0.084,0.708,1.294,1.357,1.362,0.984,1.014,1.005,1.133,1.02,1.117
17,1.277,1.279,1.293,0.91,0.084,0.733,1.421,1.336,1.339,1.26,0.972,0.962,1.115,1.149,1.125
17.5,1.269,1.274,1.284,0.936,0.084,0.76,1.245,1.303,1.3,1.232,0.926,0.91,1.095,1.113,1.115
18,1.263,1.268,1.277,0.96,0.084,0.784,1.139,1.258,1.249,1.199,0.882,0.861,1.069,1.112,0.998
18.5,1.256,1.263,1.268,0.982,0.084,0.808,1.152,1.206,1.187,1.279,0.844,0.824,1.242,1.181,1.125
19,1.251,1.257,1.26,1.005,0.084,0.829,1.043,1.153,1.129,1.03,0.814,0.796,1.089,1.162,0.999
19.5,1.247,1.252,1.252,1.025,0.084,0.851,1.026,1.106,1.143,0.804,0.789,0.772,1.015,1.137,0.891
20,1.24,1.245,1.242,1.045,0.084,0.873,1.004,1.061,1.035,1.299,0.767,0.753,1.026,0.91,0.923
20.5,1.236,1.238,1.232,1.064,0.084,0.893,0.983,1.034,1.004,0.753,0.748,0.733,0.986,0.931,0.989
20.5,1.227,1.213,1.221,1.081,0.084,0.913,0.949,0.993,0.972,0.891,0.739,0.717,0.96,0.93,0.902
20.5,1.239,1.164,1.17,1.097,0.084,0.932,0.931,0.958,0.941,1.284,0.72,0.711,0.927,0.754,0.996